Full Name,Short Name
Foyzia  Medical Hall                                        ,Foyzia  MED                                          
Bismillah Medical Hall                                      ,Bismillah MED                                        
Ayesha Medical Hall                                         ,Ayesha MED                                           
Dui Bhai Medical Hall                                       ,Dui Bhai MED                                         
Abir Medical Hall                                           ,Abir MED                                             
Milon Medical Hall                                          ,Milon MED                                            
Faruk Medical Hall                                          ,Faruk MED                                            
Bihan Medical Hall                                          ,Bihan MED                                            
Morioum Medical Hall                                        ,Morioum MED                                          
Niramoy Clinic & Diagonostic Center                         ,Niramoy CLC & Diagonostic CNTR                         
Annesha Pharmacy                                            ,Annesha PHAR                                            
Provat Pharmacy                                             ,Provat PHAR                                             
Sarder Medicine Corner                                      ,Sarder MDCN CRNR                                      
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Babul Pharmacy                                              ,Babul PHAR                                              
Laksham Medicine World                                      ,Laksham MDCN World                                      
Abu Taher Pharmacy                                          ,Abu Taher PHAR                                          
Khan Medical Hall                                           ,Khan MED                                             
Hazi Pharmacy                                               ,Hazi PHAR                                               
Zaman Medical Hall                                          ,Zaman MED                                            
Raisa Pharmacy                                              ,Raisa PHAR                                              
Ray Medicine Corner                                         ,Ray MDCN CRNR                                         
Mollah Pharmacy                                             ,Mollah PHAR                                             
Mondal Pharmacy                                             ,Mondal PHAR                                             
Maa Pharmacy                                                ,Maa PHAR                                                
Alauddin Pharmacy                                           ,Alauddin PHAR                                           
Mondol Medical Hall                                         ,Mondol MED                                           
Uttam Pharma                                                ,Uttam PHAR                                                
Ajoy Medical Hall                                           ,Ajoy MED                                             
Adunik Sheba Pharmacy                                       ,Adunik Sheba PHAR                                       
Payer Medicin Shop                                          ,Payer Medicin Shop                                          
Rahman Pharmacy                                             ,Rahman PHAR                                             
Jannath Pharmacy                                            ,Jannath PHAR                                            
Sheikh Pharma                                               ,Sheikh PHAR                                               
Hasibul Medicine Center                                     ,Hasibul MDCN CNTR                                     
Ma Medical Hall                                             ,Ma MED                                               
Mithila Pharmacy                                            ,Mithila PHAR                                            
Mona Pharmacy                                               ,Mona PHAR                                               
Titas Medicla Hall                                          ,Titas Medicla                                            
Shopno Medical Hall                                         ,Shopno MED                                           
Mayer Dowa Pharmacy                                         ,Mayer Dowa PHAR                                         
Ashirbad Medical Hall                                       ,Ashirbad MED                                         
Jononi Pharmacy                                             ,Jononi PHAR                                             
Aunkon Pharmacy                                             ,Aunkon PHAR                                             
M S Gopal Medical Hall                                      ,M S Gopal MED                                        
Rifa Pharmacy                                               ,Rifa PHAR                                               
Hashi Khushi Pharmacy                                       ,Hashi Khushi PHAR                                       
Saimon Drug House                                           ,Saimon DRG House                                           
Vhai Vhai Medical Store                                     ,Vhai Vhai MED STR                                     
Adiba Pharmacy                                              ,Adiba PHAR                                              
Vhai Vhai Medical hall 2                                    ,Vhai Vhai MED   2                                    
Rony Pharmacy                                               ,Rony PHAR                                               
Sankho Medical Hall                                         ,Sankho MED                                           
Popular Pharmacy                                            ,Popular PHAR                                            
S K Pharmacy                                                ,S K PHAR                                                
Bismillaha Pharmacy                                         ,Bismillaha PHAR                                         
Maisha Pharmacy                                             ,Maisha PHAR                                             
Nishan Medicin Corner                                       ,Nishan Medicin CRNR                                       
 Kaifa Pharmacy                                             , Kaifa PHAR                                             
Irma Pharmacy                                               ,Irma PHAR                                               
Jannat Pharmacy                                             ,Jannat PHAR                                             
Jhawdanga Pharmacy 1                                        ,Jhawdanga PHAR 1                                        
Nafiz Pharmacy                                              ,Nafiz PHAR                                              
Mozid Pharmacy                                              ,Mozid PHAR                                              
Mim Pharmacy                                                ,Mim PHAR                                                
Bijoy Pharmacy                                              ,Bijoy PHAR                                              
Janoni Medicine Center                                      ,Janoni MDCN CNTR                                      
Rimi Medical Hall                                           ,Rimi MED                                             
Bhai Bhai Pharmacy                                          ,Bhai Bhai PHAR                                          
Patiya Pharmacy                                             ,Patiya PHAR                                             
Mehenaj Pharmacy                                            ,Mehenaj PHAR                                            
Adnan Pharmacy                                              ,Adnan PHAR                                              
Zahid Pharmacy                                              ,Zahid PHAR                                              
Mollah Pharmacy                                             ,Mollah PHAR                                             
Janani Clinic                                               ,Janani CLC                                               
Ahsan Medicine Point                                        ,Ahsan MDCN Point                                        
Kajibari Medical Hall                                       ,Kajibari MED                                         
One Pharma                                                  ,One PHAR                                                  
Fahad Medical Hall                                          ,Fahad MED                                            
Sahadat Pharmacy                                            ,Sahadat PHAR                                            
Bismillah Pharmacy & Dental                                 ,Bismillah PHAR & DNTL                                 
Shoha Medical Hall                                          ,Shoha MED                                            
Sowdarghar Medical Hall                                     ,Sowdarghar MED                                       
Bismillah Drug House                                        ,Bismillah DRG House                                        
Rasel Medical Hall                                          ,Rasel MED                                            
Aliya Drug House                                            ,Aliya DRG House                                            
Jononi Drug House                                           ,Jononi DRG House                                           
Maa Medicine Corner                                         ,Maa MDCN CRNR                                         
Dhaka Pharmacy                                              ,Dhaka PHAR                                              
Maya Pharmacy 02                                            ,Maya PHAR 02                                            
Tahsin Medical Hall                                         ,Tahsin MED                                           
Tultul Medical Hall                                         ,Tultul MED                                           
New Desh Pharmacy                                           ,New Desh PHAR                                           
Buro Health Care                                            ,Buro Health Care                                            
Tomas Aushadhaloy                                           ,Tomas Aushadhaloy                                           
Al Modina Pharmacy                                          ,Al Modina PHAR                                          
Super Medicine Corner And Doctors Chamber                   ,SUP MDCN CRNR And DOCs CHAM                   
Maa Pharmacy                                                ,Maa PHAR                                                
Shifat Pharmacy                                             ,Shifat PHAR                                             
Asmani Medicine Shop                                        ,Asmani MDCN Shop                                        
Maa Pharmacy                                                ,Maa PHAR                                                
Care plus Pharmacy                                          ,Care plus PHAR                                          
Swapna Pharmacy                                             ,Swapna PHAR                                             
Ria Medicine centre                                         ,Ria MDCN centre                                         
S P Pharmacy                                                ,S P PHAR                                                
Nahar Pharmacy                                              ,Nahar PHAR                                              
Arfa Medicine centre                                        ,Arfa MDCN centre                                        
Maa Pharmacy 2                                              ,Maa PHAR 2                                              
Southern Pharma                                             ,Southern PHAR                                             
Abid Medical Hall                                           ,Abid MED                                             
Labib Medicine Corner                                       ,Labib MDCN CRNR                                       
Anower Hossain Modern Drug Center                           ,Anower Hossain MDRN DRG CNTR                           
Rabeya Medical Store                                        ,Rabeya MED STR                                        
Tanisha Pharmacy                                            ,Tanisha PHAR                                            
Mayan Medical Hall                                          ,Mayan MED                                            
Fatema Pharmacy                                             ,Fatema PHAR                                             
MS Akash Medico                                             ,MS Akash MEDC                                             
Ibrahim Pharmacy                                            ,Ibrahim PHAR                                            
Maa Pharmacy                                                ,Maa PHAR                                                
sdiya Pharmacy                                              ,sdiya PHAR                                              
Mohammadia Modern Pharmacy                                  ,Mohammadia MDRN PHAR                                  
Momota Drug House                                           ,Momota DRG House                                           
Abdullah Pharmacy                                           ,Abdullah PHAR                                           
Ahmed Aoushadhalaya & Departmental Store                    ,Ahmed Aoushadhalaya & DEPT STR                    
Ashim Medical Store                                         ,Ashim MED STR                                         
Amar Pharma                                                 ,Amar PHAR                                                 
M M Pharmacy                                                ,M M PHAR                                                
Green Medicare                                              ,Green MEDI                                              
Shefath Pharmacy                                            ,Shefath PHAR                                            
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Maa Pharmacy                                                ,Maa PHAR                                                
Ayan Medicine Corner                                        ,Ayan MDCN CRNR                                        
New Ashik Medical Hall                                      ,New Ashik MED                                        
Khan Medical Hall                                           ,Khan MED                                             
Maa Medical Hall 1                                          ,Maa MED   1                                          
Modred Dental Care                                          ,Modred DNTL Care                                          
New Mahamudha Drug House                                    ,New Mahamudha DRG House                                    
Shadia Medicine Conner                                      ,Shadia MDCN Conner                                      
Maa Medical Hall                                            ,Maa MED                                              
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Soyed Medical Hall                                          ,Soyed MED                                            
Raysa Medical Hall                                          ,Raysa MED                                            
Jannat Medical Hall                                         ,Jannat MED                                           
Sajib Pharmacy                                              ,Sajib PHAR                                              
Ayisha Pharmacy                                             ,Ayisha PHAR                                             
Mollah Pharmacy                                             ,Mollah PHAR                                             
Nahid Pharmacy                                              ,Nahid PHAR                                              
janaseba Pharmacy                                           ,janaseba PHAR                                           
Prantor Pharmacy                                            ,Prantor PHAR                                            
Morium Medical Hall                                         ,Morium MED                                           
Maa Pharmacy                                                ,Maa PHAR                                                
Seba Pharmacy                                               ,Seba PHAR                                               
Bhai Bon Pharmacy                                           ,Bhai Bon PHAR                                           
Master Seba Center                                          ,Master Seba CNTR                                          
Taher Medical Store   1                                     ,Taher MED STR   1                                     
Dorvesh Medical Hall                                        ,Dorvesh MED                                          
New Life care Pharmacy                                      ,New Life care PHAR                                      
Nira Pharmacy                                               ,Nira PHAR                                               
Sejuti Medicine Corner                                      ,Sejuti MDCN CRNR                                      
Satata Pharmacy                                             ,Satata PHAR                                             
Matabbor Medical hall                                       ,Matabbor MED                                         
Arafat And Akibul Medical Store                             ,Arafat And Akibul MED STR                             
Mollah Pharmacy                                             ,Mollah PHAR                                             
Bhai Bhai Pharmacy                                          ,Bhai Bhai PHAR                                          
Barokona Medical Center                                     ,Barokona MED CNTR                                     
SAHID MEDICAL HALL                                          ,SAHID MEDICAL HALL                                          
Sumaia Pharmacy                                             ,Sumaia PHAR                                             
Al Modina Pharmacy                                          ,Al Modina PHAR                                          
Jahanara Medical Hall                                       ,Jahanara MED                                         
Ira Drug House                                              ,Ira DRG House                                              
SHAHIN MEDICAL HALL                                         ,SHAHIN MEDICAL HALL                                         
Adorsho Pharmacy                                            ,Adorsho PHAR                                            
Bina  Medical Hall.                                         ,Bina  MED  .                                         
Howlader Medical Hall                                       ,Howlader MED                                         
Munshi Pharmacy                                             ,Munshi PHAR                                             
M S Akhi Medical Store                                      ,M S Akhi MED STR                                      
M S Yeahia Pharmacy                                         ,M S Yeahia PHAR                                         
Rony Pharmacy                                               ,Rony PHAR                                               
Momana Medical Hall                                         ,Momana MED                                           
Hady Pharmacy                                               ,Hady PHAR                                               
Dr.Putul Medical Store                                      , Putul MED STR                                      
Labiba Pharma                                               ,Labiba PHAR                                               
Bismillah  Pharmacy                                         ,Bismillah  PHAR                                         
Shad Model Medicine Shop                                    ,Shad   MDCN Shop                                    
BD DRUGS                                                    ,BD  GS                                                    
Abdullah Pharmacy                                           ,Abdullah PHAR                                           
Samoli Pharmacy                                             ,Samoli PHAR                                             
Hama Homio Hall & Pharmacy                                  ,Hama Homio   & PHAR                                  
Nasima Pharmacy                                             ,Nasima PHAR                                             
Hemel Pharma                                                ,Hemel PHAR                                                
MAA MEDICINE POINT                                          ,MAA MEDICINE POINT                                          
BHUIYAN PHARMACY                                            ,BHUIYAN PHARMACY                                            
LIFE CARE PHARMA                                            ,LIFE CARE PHARMA                                            
M.R Pharma                                                  ,M.R PHAR                                                  
Lokonath pharmacy                                           ,Lokonath pharmacy                                           
Habib Medical Hall                                          ,Habib MED                                            
Hisam Medical Hall                                          ,Hisam MED                                            
Nila Medical Hall                                           ,Nila MED                                             
Mirja Medical Hall                                          ,Mirja MED                                            
Dhaka Model Medical Hall                                    ,Dhaka   MED                                      
Vai Vai Model Medicine Corner                               ,Vai Vai   MDCN CRNR                               
Sheba Medical Centre                                        ,Sheba MED Centre                                        
Al Shafa Medical Store                                      ,Al Shafa MED STR                                      
Mahadi Pharmacy                                             ,Mahadi PHAR                                             
Z Haque Phama                                               ,Z Haque Phama                                               
MAYA MEDICINE CORNER                                        ,MAYA MEDICINE CORNER                                        
Hamza Medical Hall                                          ,Hamza MED                                            
Mayer Doya Pharmacy                                         ,Mayer Doya PHAR                                         
Health Mart                                                 ,Health Mart                                                 
Riad Medical Hall                                           ,Riad MED                                             
Maa Medicine Corner                                         ,Maa MDCN CRNR                                         
Mahima Medicine Corner                                      ,Mahima MDCN CRNR                                      
Sawrav Medical Hall                                         ,Sawrav MED                                           
M M Medicine Shop                                           ,M M MDCN Shop                                           
Al Mamun Pharmacy                                           ,Al Mamun PHAR                                           
Sarder Pharmacy                                             ,Sarder PHAR                                             
Shefa Pharmacy                                              ,Shefa PHAR                                              
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Gita Pharmacy                                               ,Gita PHAR                                               
Biswas Pharmacy 2                                           ,Biswas PHAR 2                                           
Loknath Pharmacy                                            ,Loknath PHAR                                            
Liton Pharmacy                                              ,Liton PHAR                                              
Nobel Pharmacy                                              ,Nobel PHAR                                              
Sorker Pharmacy                                             ,Sorker PHAR                                             
Tin Bhai Pharmacy                                           ,Tin Bhai PHAR                                           
Matri Chaya Pharmacy                                        ,Matri Chaya PHAR                                        
Rohoman  s Medical Hall                                     ,Rohoman  s MED                                       
Mahmud Pharma                                               ,Mahmud PHAR                                               
Motaleb Medical Hall                                        ,Motaleb MED                                          
Kader Pharmacy                                              ,Kader PHAR                                              
Abir Medicine Corner                                        ,Abir MDCN CRNR                                        
Zaman Pharmacy                                              ,Zaman PHAR                                              
Jubayer Pharmacy                                            ,Jubayer PHAR                                            
Mayer Doa Pharmacy                                          ,Mayer Doa PHAR                                          
Master Pharmacy                                             ,Master PHAR                                             
Kamal Pharmacy                                              ,Kamal PHAR                                              
New Popular Pharmacy                                        ,New Popular PHAR                                        
Miazi Medicine corner                                       ,Miazi MDCN corner                                       
Jhinuk Medical Store                                        ,Jhinuk MED STR                                        
Mayer Doa Medicine Shop                                     ,Mayer Doa MDCN Shop                                     
Shamim Medical Hall                                         ,Shamim MED                                           
Zaman Drugs                                                 ,Zaman DRGs                                                 
Bismillah  Pharmacy                                         ,Bismillah  PHAR                                         
 AMIN MEDICAL HALL                                          , AMIN MEDICAL HALL                                          
Niramoy Chikitsaloy                                         ,Niramoy Chikitsaloy                                         
Niramoy Chikitsaloy                                         ,Niramoy Chikitsaloy                                         
Adarsho Pharmacy                                            ,Adarsho PHAR                                            
Mollah Medicine House                                       ,Mollah MDCN House                                       
Maa Baba Pharmacy                                           ,Maa Baba PHAR                                           
Moon Hospital                                               ,Moon HOSP                                               
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Hasan Hossain  R:  Medical Hall                             ,Hasan Hossain  R:  MED                               
Islamia Hospital                                            ,Islamia HOSP                                            
Suhan Pharmacy                                              ,Suhan PHAR                                              
Najma Medical Hall                                          ,Najma MED                                            
Miah Pharmacy                                               ,Miah PHAR                                               
Modern Pharmacy                                             ,MDRN PHAR                                             
Abdullah Pharmacy                                           ,Abdullah PHAR                                           
Lazz Pharma                                                 ,Lazz PHAR                                                 
Vuya Pharmacy                                               ,Vuya PHAR                                               
Basona Pharmacy                                             ,Basona PHAR                                             
Chowdhury Pharmacy                                          ,Chowdhury PHAR                                          
Ride Medicine Corner                                        ,Ride MDCN CRNR                                        
Thakurgaon Medicine Corner                                  ,Thakurgaon MDCN CRNR                                  
Sadiq Pharmacy                                              ,Sadiq PHAR                                              
Maa Baba Pharmacy                                           ,Maa Baba PHAR                                           
Shahodagor Pharmacy 3                                       ,Shahodagor PHAR 3                                       
Noakhali Pharmacy                                           ,Noakhali PHAR                                           
Raisa Medical Hall                                          ,Raisa MED                                            
Ripon Medical Hall                                          ,Ripon MED                                            
Sohana Medical Store                                        ,Sohana MED STR                                        
Ghosh Pharma                                                ,Ghosh PHAR                                                
Master Medical Hall                                         ,Master MED                                           
Anas Pharma                                                 ,Anas PHAR                                                 
Janany Medicine Hall                                        ,Janany MDCN                                          
Maulana Medical Hall                                        ,Maulana MED                                          
Nazim Medical Hall                                          ,Nazim MED                                            
United Diagnostic & Consolation Center                      ,United DAG & CN CNTR                      
Tazwaar Medicine Mart                                       ,Tazwaar MDCN Mart                                       
Maa Medicine Corner                                         ,Maa MDCN CRNR                                         
Abdulla Pharmacy                                            ,Abdulla PHAR                                            
Bushra Medical Hall                                         ,Bushra MED                                           
Johora Pharmacy                                             ,Johora PHAR                                             
Sunlight Pharmacy                                           ,Sunlight PHAR                                           
Sikder Pharmacy                                             ,Sikder PHAR                                             
Medicine Point                                              ,MDCN Point                                              
Shafi Drug House                                            ,Shafi DRG House                                            
Sefa Pharmacy                                               ,Sefa PHAR                                               
M Peara Medicine Corner                                     ,M Peara MDCN CRNR                                     
Bakaul Pharmacy                                             ,Bakaul PHAR                                             
Mayer Doya Pharmacy                                         ,Mayer Doya PHAR                                         
Konok Pharmacy                                              ,Konok PHAR                                              
Shahera Medicine Corner                                     ,Shahera MDCN CRNR                                     
Tapoti Pharmacy                                             ,Tapoti PHAR                                             
Fatama Pharmacy                                             ,Fatama PHAR                                             
Loknath Pharmacy                                            ,Loknath PHAR                                            
Lily Pharmacy                                               ,Lily PHAR                                               
Dhaka Pharmacy                                              ,Dhaka PHAR                                              
Nazma Pharmacy                                              ,Nazma PHAR                                              
Takwa Pharmacy                                              ,Takwa PHAR                                              
Mou Medicine Corner                                         ,Mou MDCN CRNR                                         
Puja Pharmacy                                               ,Puja PHAR                                               
Bilas Pharmacy                                              ,Bilas PHAR                                              
Cure Pharmacy                                               ,Cure PHAR                                               
Manik Medical Hall                                          ,Manik MED                                            
Morol Pharmacy                                              ,Morol PHAR                                              
Wahidul Pharmacy                                            ,Wahidul PHAR                                            
Shihad Medical Hall                                         ,Shihad MED                                           
Anjumonoara Pharmacy                                        ,Anjumonoara PHAR                                        
Satota Pharmacy                                             ,Satota PHAR                                             
Rahima Pharmacy                                             ,Rahima PHAR                                             
Jahan Medical Hall                                          ,Jahan MED                                            
Nishan Pharmacy                                             ,Nishan PHAR                                             
Rahima Pharmacy                                             ,Rahima PHAR                                             
Sourav Sajib Medical hall                                   ,Sourav Sajib MED                                     
Dr.Abu Bakkar                                               , Abu Bakkar                                               
Mahia Medical Hall                                          ,Mahia MED                                            
Janoni Model Medicine Shop                                  ,Janoni   MDCN Shop                                  
A B Pharmacy                                                ,A B PHAR                                                
Mayer Doya Pharmacy                                         ,Mayer Doya PHAR                                         
Maa Pharmacy                                                ,Maa PHAR                                                
Sufi Drug House                                             ,Sufi DRG House                                             
Tonni Medicine Corner                                       ,Tonni MDCN CRNR                                       
Mirpur Pharmacy                                             ,Mirpur PHAR                                             
Mina Medical Hall                                           ,Mina MED                                             
Tasin Medicine Corner                                       ,Tasin MDCN CRNR                                       
Dohar Pharmacy                                              ,Dohar PHAR                                              
Mollah Medicine Corner                                      ,Mollah MDCN CRNR                                      
Rabeya Pharmacy                                             ,Rabeya PHAR                                             
Masum Medical Hall                                          ,Masum MED                                            
Arefin Pharmacy                                             ,Arefin PHAR                                             
Three Sister s Pharmacy                                     ,Three Sister s PHAR                                     
Sadia Pharmacy                                              ,Sadia PHAR                                              
A B R Pharmacy                                              ,A B R PHAR                                              
Professor Pharmacy                                          ,Professor PHAR                                          
Shua Medicine Corner                                        ,Shua MDCN CRNR                                        
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Sinha Madical Hall                                          ,Sinha MED                                            
New Chottrola Pharmacy                                      ,New Chottrola PHAR                                      
Abdul Hannan Medical  Center                                ,Abdul Hannan MED  CNTR                                
Neaz Medical Hall                                           ,Neaz MED                                             
Tasfia Medical Hall                                         ,Tasfia MED                                           
Zohir Medical Hall                                          ,Zohir MED                                            
Shams Phama                                                 ,Shams Phama                                                 
Khadma Medical Hall                                         ,Khadma MED                                           
Maa Pharmacy                                                ,Maa PHAR                                                
Jeet Medical Hall                                           ,Jeet MED                                             
Medicine Plus                                               ,MDCN Plus                                               
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Aman Pharmacy                                               ,Aman PHAR                                               
Safa Pharmacy 02                                            ,Safa PHAR 02                                            
Pori Pharma                                                 ,Pori PHAR                                                 
Shaba Pharmacy                                              ,Shaba PHAR                                              
Confidence Medical Hall                                     ,Confidence MED                                       
Rupon Medical Hall                                          ,Rupon MED                                            
RKH Pharma 2                                                ,RKH PHAR 2                                                
smart Pharma                                                ,smart PHAR                                                
Mondol Pharmacy                                             ,Mondol PHAR                                             
Sikder Drug house                                           ,Sikder DRG house                                           
Walid Pharmacy                                              ,Walid PHAR                                              
Manob Sheba Pharmacy                                        ,Manob Sheba PHAR                                        
Apu Pharmacy                                                ,Apu PHAR                                                
Sikder Medicine Point                                       ,Sikder MDCN Point                                       
Mokka Medical Hall                                          ,Mokka MED                                            
Al Modina Medical Hall                                      ,Al Modina MED                                        
Hasan Pharmacy                                              ,Hasan PHAR                                              
Lovely Pharmacy                                             ,Lovely PHAR                                             
Shamoli Pharmacy                                            ,Shamoli PHAR                                            
Bismillah Medico                                            ,Bismillah MEDC                                            
Shorma Medicine Corner                                      ,Shorma MDCN CRNR                                      
Maa Pharmacy                                                ,Maa PHAR                                                
M R Medical Hall                                            ,M R MED                                              
Medicine Point                                              ,MDCN Point                                              
Ha Mim Pharmacy                                             ,Ha Mim PHAR                                             
Sorna Pharmacy                                              ,Sorna PHAR                                              
Najma Medical Hall                                          ,Najma MED                                            
Somun Medical Hall                                          ,Somun MED                                            
Usa Pharmacy                                                ,Usa PHAR                                                
Nurani Medical Hall                                         ,Nurani MED                                           
Shehab Medicine Corner                                      ,Shehab MDCN CRNR                                      
Eikra Medicine Corner                                       ,Eikra MDCN CRNR                                       
Jui Medical Hall                                            ,Jui MED                                              
Alif Lam Pharmacy                                           ,Alif Lam PHAR                                           
Mir Medical Hall                                            ,Mir MED                                              
Muntaha Medical Hall                                        ,Muntaha MED                                          
Treatment Medical Hall                                      ,TRT MED                                        
Hawlader Pharmacy                                           ,Hawlader PHAR                                           
Salma Medical Hall                                          ,Salma MED                                            
Health Care Medical Hall                                    ,Health Care MED                                      
Patowary Medical Hall                                       ,Patowary MED                                         
Nusrat Pharmacy                                             ,Nusrat PHAR                                             
Moni Pharmacy                                               ,Moni PHAR                                               
Mollerhat Diagnostic Center& Hospital                       ,Mollerhat DAG CNTR& HOSP                       
Ashshifa Pharmacy                                           ,Ashshifa PHAR                                           
Safe Drug House                                             ,Safe DRG House                                             
Maa Pharmacy                                                ,Maa PHAR                                                
Hena Ahmed Hospital                                         ,Hena Ahmed HOSP                                         
Shapla Pharmacy                                             ,Shapla PHAR                                             
Arian Arafat Medical Hall                                   ,Arian Arafat MED                                     
Mahmud Drug                                                 ,Mahmud DRG                                                 
Jarina Pharmacy                                             ,Jarina PHAR                                             
Somrat Pharmacy                                             ,Somrat PHAR                                             
Redwan Medical Hall                                         ,Redwan MED                                           
Arogga Medical Hall                                         ,Arogga MED                                           
Jesmin Pharmacy                                             ,Jesmin PHAR                                             
Ripon Pharmacy                                              ,Ripon PHAR                                              
Shefa Medical Hall                                          ,Shefa MED                                            
M S Rabeya Pharmacy                                         ,M S Rabeya PHAR                                         
Mollah Pharma                                               ,Mollah PHAR                                               
Biswas Phaarmacy                                            ,Biswas Phaarmacy                                            
Digital Medicine Mart                                       ,DIGI MDCN Mart                                       
Lisha Pharmacy                                              ,Lisha PHAR                                              
Thatrai Pharmacy                                            ,Thatrai PHAR                                            
The Safe NVD Center                                         ,The Safe NVD CNTR                                         
Maskura Modern Pharmacy                                     ,Maskura MDRN PHAR                                     
Noyon Medical Hall                                          ,Noyon MED                                            
Mim Pharmacy                                                ,Mim PHAR                                                
Ride Medicine Corner,Ride MDCN CRNR
Konok Pharmacy,Konok PHAR
Shahera Medicine Corner,Shahera MDCN CRNR
Manik Medical Hall,Manik MED  
Sourav Sajib Medical hall,Sourav Sajib MED  
Tonni Medicine Corner,Tonni MDCN CRNR
Ghosh Pharma,Ghosh PHAR
Nazim Medical Hall,Nazim MED  
Anjumonoara Pharmacy,Anjumonoara PHAR
Nishan Pharmacy,Nishan PHAR
Sinha Madical Hall,Sinha MED  
Maa Baba Pharmacy,Maa Baba PHAR
Janany Medicine Hall,Janany MDCN  
Bushra Medical Hall,Bushra MED  
Sunlight Pharmacy,Sunlight PHAR
Nazma Pharmacy,Nazma PHAR
Takwa Pharmacy,Takwa PHAR
Puja Pharmacy,Puja PHAR
Maa Pharmacy,Maa PHAR
Mollah Medicine Corner,Mollah MDCN CRNR
Rabeya Pharmacy,Rabeya PHAR
Professor Pharmacy,Professor PHAR
Sadiq Pharmacy,Sadiq PHAR
Maulana Medical Hall,Maulana MED  
Maa Medicine Corner,Maa MDCN CRNR
Bilas Pharmacy,Bilas PHAR
Morol Pharmacy,Morol PHAR
Shihad Medical Hall,Shihad MED  
Mahia Medical Hall,Mahia MED  
Mirpur Pharmacy,Mirpur PHAR
Tasin Medicine Corner,Tasin MDCN CRNR
Shahodagor Pharmacy,Shahodagor PHAR
Raisa Medical Hall,Raisa MED  
Sikder Pharmacy,Sikder PHAR
Shafi Drug House,Shafi DRG House
Fatama Pharmacy,Fatama PHAR
Mou Medicine Corner,Mou MDCN CRNR
Dr.Abu Bakkar, Abu Bakkar
Janoni Model Medicine Shop,Janoni   MDCN Shop
Dohar Pharmacy,Dohar PHAR
Arefin Pharmacy,Arefin PHAR
Sadia Pharmacy,Sadia PHAR
Thakurgaon Medicine Corner,Thakurgaon MDCN CRNR
Sohana Medical Store,Sohana MED STR
Tazwaar Medicine Mart,Tazwaar MDCN Mart
Abdulla Pharmacy,Abdulla PHAR
M Peara Medicine Corner,M Peara MDCN CRNR
Tapoti Pharmacy,Tapoti PHAR
Cure Pharmacy,Cure PHAR
Wahidul Pharmacy,Wahidul PHAR
Rahima Pharmacy,Rahima PHAR
Masum Medical Hall,Masum MED  
Master Medical Hall,Master MED  
Johora Pharmacy,Johora PHAR
Medicine Point,MDCN Point
Sefa Pharmacy,Sefa PHAR
Mayer Doya Pharmacy,Mayer Doya PHAR
Loknath Pharmacy,Loknath PHAR
Dhaka Pharmacy,Dhaka PHAR
Rahima Pharmacy,Rahima PHAR
A B Pharmacy,A B PHAR
Sufi Drug House,Sufi DRG House
Mina Medical Hall,Mina MED  
Three Sister s Pharmacy,Three Sister s PHAR
A B R Pharmacy,A B R PHAR
Bismillah Pharmacy,Bismillah PHAR
Noakhali Pharmacy,Noakhali PHAR
Ripon Medical Hall,Ripon MED  
Anas Pharma,Anas PHAR
United Diagnostic & Consolation Center,United DAG & CN CNTR
Bakaul Pharmacy,Bakaul PHAR
Lily Pharmacy,Lily PHAR
Satota Pharmacy,Satota PHAR
Jahan Medical Hall,Jahan MED  
Mayer Doya Pharmacy,Mayer Doya PHAR
Shua Medicine Corner,Shua MDCN CRNR
